bedroom|bathroom|garage|parking|erf-size|building-size|price
6|6|8|NaN|5,965 m²|1,700 m²|R100,000,000
5|6|10|NaN|1,241 m²|1,800 m²|POA
4|6|3|NaN|818 m²|900 m²|R85,000,000
4|4.5|2|2|721 m²|780 m²|R85,000,000
5|4.5|3|NaN|579 m²|625 m²|R82,800,000
5|5.5|3|NaN|705 m²|NaN|R75,000,000
5|4|NaN|NaN|403 m²|306 m²|R75,000,000
5|5|3|NaN|1,550 m²|NaN|R75,000,000
5|6|3|NaN|3,195 m²|NaN|R69,995,000
4|4|NaN|3|NaN|430 m²|R63,000,000
4|4.5|NaN|4|NaN|411 m²|R59,000,000
6|6|NaN|2|991 m²|862 m²|R59,000,000
3|3|NaN|NaN|476 m²|NaN|R59,000,000
3|3|NaN|3|341 m²|341 m²|POA
4|4|2|NaN|10,900 m²|NaN|R57,000,000
3|3|NaN|NaN|366 m²|213 m²|R50,000,000
2|2.5|NaN|3|NaN|277 m²|R49,995,000
3|4|NaN|3|NaN|509 m²|R49,995,000
4|5.5|3|3|1,095 m²|NaN|R49,995,000
7|7|2|10|4,673 m²|885 m²|R49,800,000
6|7|6|NaN|6,240 m²|NaN|R49,000,000
7|7|3|NaN|7,555 m²|NaN|R49,000,000
5|5|4|4|1,044 m²|900 m²|R47,500,000
4|4|NaN|3|NaN|376 m²|R45,000,000
3|4|NaN|3|465 m²|465 m²|R45,000,000
5|5|4|NaN|1,135 m²|880 m²|R45,000,000
6|5|5|NaN|3,622 m²|NaN|R45,000,000
2|2.5|NaN|1|272 m²|NaN|R42,950,000
4|4.5|2|2|NaN|340 m²|R40,250,000
3|3|2|NaN|NaN|546 m²|R40,000,000
6|5.5|3|10|7,353 m²|1,100 m²|R40,000,000
3|3|NaN|1|NaN|231 m²|R39,500,000
8|8|4|NaN|1,205 m²|NaN|R39,000,000
5|5|2|NaN|414 m²|NaN|R38,995,000
4|3.5|2|NaN|906 m²|NaN|R38,500,000
6|6|4|NaN|5,612 m²|NaN|R38,000,000
3|2|2|NaN|1,255 m²|400 m²|R37,995,000
4|4|NaN|NaN|369 m²|NaN|R37,500,000
6|6|3|NaN|805 m²|400 m²|R36,685,000
5|6.5|2|NaN|700 m²|NaN|R36,500,000
3|3|2|NaN|NaN|429 m²|R35,000,000
3|2|NaN|NaN|NaN|172 m²|R35,000,000
4|3.5|NaN|2|NaN|353 m²|R34,995,000
4|4|2|2|1,827 m²|NaN|R34,210,000
4|4|2|2|2,107 m²|NaN|R34,210,000
4|4|2|2|1,884 m²|NaN|R34,210,000
5|5.5|4|6|4,006 m²|1,240 m²|R34,000,000
3|3.5|NaN|3|NaN|357 m²|R33,000,000
5|5|3|NaN|1,073 m²|830 m²|R33,000,000
5|5|4|NaN|1,106 m²|NaN|R32,995,000
4|4|2|2|1,960 m²|517 m²|R32,200,000
5|5|4|NaN|1,152 m²|NaN|R32,000,000
6|6.5|3|NaN|1,450 m²|1,100 m²|R31,500,000
6|6|2|NaN|4,006 m²|NaN|R31,000,000
3|2.5|NaN|2|249 m²|249 m²|R31,000,000
3|2.5|2|NaN|NaN|297 m²|R30,000,000
6|7|2|NaN|4,838 m²|NaN|R29,995,000
3|3|NaN|3|NaN|221 m²|R29,995,000
7|7.5|10|NaN|4,000 m²|NaN|R29,900,000
5|5|6|NaN|967 m²|1,060 m²|R29,800,000
4|4.5|2|NaN|887 m²|700 m²|R29,500,000
4|4|NaN|2|NaN|616 m²|R29,500,000
4|6|6|NaN|3,035 m²|1,100 m²|R29,000,000
3|2|NaN|NaN|263 m²|263 m²|R29,000,000
4|3|1|2|NaN|243 m²|R28,500,000
5|5.5|2|NaN|1,322 m²|NaN|R28,000,000
5|6|3|NaN|2,001 m²|534 m²|R28,000,000
5|5.5|4|NaN|882 m²|725 m²|R28,000,000
5|4|2|NaN|3,357 m²|NaN|R27,750,000
4|4|NaN|4|NaN|280 m²|R27,594,250
5|5.5|4|NaN|4,060 m²|NaN|R27,500,000
5|6.5|10|NaN|4,056 m²|NaN|R27,500,000
8|9|2|NaN|833 m²|935 m²|R26,995,000
3|3.5|NaN|NaN|NaN|358 m²|R26,950,000
6|6|2|NaN|331 m²|550 m²|R26,500,000
2|2|NaN|2|303 m²|167 m²|R26,450,000
5|5.5|5|NaN|1,114 m²|NaN|R25,995,000
4|3|3|NaN|952 m²|NaN|R25,995,000
6|6.5|2|NaN|1,037 m²|474 m²|R25,950,000
3|3|2|2|NaN|269 m²|R25,400,000
5|5.5|2|NaN|451 m²|NaN|R25,000,000
5|5.5|2|NaN|952 m²|550 m²|R24,995,000
6|6|2|2|1,340 m²|NaN|R24,990,000
5|5|4|NaN|4,144 m²|NaN|R24,950,000
4|3.5|NaN|2|NaN|547 m²|R24,500,000
4|3.5|2|NaN|1,500 m²|NaN|R24,437,500
5|5|3|NaN|646 m²|500 m²|R23,995,000
3|3.5|NaN|2|NaN|294 m²|R23,950,000
3|3.5|NaN|3|NaN|317 m²|R23,500,000
3|3|2|NaN|NaN|212 m²|R23,500,000
4|5|6|NaN|889 m²|780 m²|R23,000,000
4|3|3|NaN|474 m²|487 m²|R23,000,000
4|3.5|2|NaN|2,046 m²|NaN|POA
3|3.5|NaN|2|NaN|224 m²|R22,995,000
5|5.5|3|3|411 m²|NaN|R22,995,000
5|4|4|NaN|1,202 m²|677 m²|R22,995,000
4|4.5|2|NaN|NaN|333 m²|R22,994,250
3|3|NaN|1|NaN|142 m²|R22,950,000
3|2|NaN|2|NaN|480 m²|R22,950,000
5|5|3|NaN|988 m²|689 m²|R22,000,000
4|4|2|2|456 m²|NaN|R22,000,000
4|4.5|2|NaN|819 m²|NaN|R21,995,000
4|3.5|2|NaN|400 m²|NaN|R21,995,000
3|3|NaN|1|NaN|235 m²|R21,995,000
5|5.5|2|1|1,249 m²|529 m²|R21,500,000
4|4|5|NaN|1,981 m²|1,080 m²|R21,500,000
4|5.5|1|NaN|307 m²|NaN|R21,500,000
5|4.5|2|NaN|763 m²|NaN|R21,500,000
4|4.5|3|NaN|1,120 m²|729 m²|R20,760,000
6|6|2|3|1,542 m²|720 m²|R19,995,000
5|5|4|NaN|1,155 m²|NaN|R19,990,000
5|5|5|NaN|4,426 m²|NaN|R19,950,000
4|5|3|NaN|4,180 m²|NaN|R19,900,000
4|4.5|2|NaN|1,270 m²|428 m²|R19,500,000
6|6|4|NaN|2,498 m²|NaN|R18,950,000
5|5|2|NaN|863 m²|580 m²|R18,950,000
5|5.5|2|NaN|583 m²|NaN|R18,950,000
4|3|3|NaN|1,046 m²|NaN|R18,900,000
3|2.5|NaN|2|NaN|216 m²|R18,900,000
4|4|2|NaN|3,548 m²|650 m²|R18,500,000
2|2|NaN|2|NaN|152 m²|R18,400,000
3|3.5|NaN|2|292 m²|NaN|R18,350,000
